User Pedon ID                 ,Top Depth,Bottom Depth,featNew
1970SD091205                  ,15,152,Aquic Conditions
1977SD051008                  ,28,152,Aquic Conditions
1978SD021310                  ,0,152,Aquic Conditions
1983SD013501                  ,81,152,Aquic Conditions
1983SD039003                  ,0,152,Aquic Conditions
1987ND095003                  ,0,152,Aquic Conditions
1989ND021302                  ,0,152,Aquic Conditions
1991SD011038                  ,25,200,Aquic Conditions
1991SD115001                  ,28,200,Aquic Conditions
C0707P05-3                    ,         ,            ,Aquic Conditions
C0707P05-5                    ,         ,            ,Aquic Conditions
C0707W05-4                    ,         ,            ,Aquic Conditions
C0707W05-5                    ,         ,            ,Aquic Conditions
S2015ND093026                 ,0,200,Aquic Conditions
S2015ND093028                 ,0,200,Aquic Conditions
1989ND021302                  ,0,152,Aquic Conditions
1970ND101310                  ,0,152,Aquic Conditions
2018MN011020                  ,45,150,Aquic Conditions
2018MN111061                  ,33,150,Aquic Conditions
1984MN011517                  ,0,150,Aquic Conditions
1984MN011518                  ,20,152,Aquic Conditions
1984MN011521                  ,20,150,Aquic Conditions
1959MN149515                  ,18,122,Aquic Conditions
1987MN011502                  ,13,150,Aquic Conditions
1959MN149526                  ,0,119,Aquic Conditions
1963MN149510                  ,36,162,Aquic Conditions
S1993MN111002                 ,0,180,Aquic Conditions
2019ND071030                  ,0,60,Aquic Conditions
1984MN011525                  ,33,152,Aquic Conditions
1957ND029002                  ,0,145,Aquic Conditions
1989ND047001                  ,0,193,Aquic Conditions
2020ND055131                  ,0,120,Aquic Conditions
2020ND093102                  ,0,105,Aquic Conditions
2020ND093120                  ,0,110,Aquic Conditions
2020ND101020                  ,0,150,Aquic Conditions
2020ND101032                  ,0,100,Aquic Conditions
2020ND093012                  ,40,200,Aquic Conditions
2020ND055090                  ,0,120,Aquic Conditions
2020ND055121                  ,0,100,Aquic Conditions
2020ND055022                  ,70,100,Aquic Conditions
2020ND061020                  ,0,100,Aquic Conditions
2020ND023170                  ,0,110,Aquic Conditions
2020ND023180                  ,0,100,Aquic Conditions
2020ND047062                  ,0,110,Aquic Conditions
2020ND083131                  ,0,115,Aquic Conditions
2021ND093007                  ,0,110,Aquic Conditions
1987SD077009                  ,25,152,Aquic Conditions
1992SD025023                  ,0,152,Aquic Conditions
2021ND099180                  ,0,130,Aquic Conditions
