desig,User Pedon ID                 ,Top Depth,Bottom Depth
Bt1,1957ND029001                  ,20,76
Bk,1957ND029001                  ,117,147
A,1957ND029001                  ,0,20
Bt2,1957ND029001                  ,76,117
C,1957ND029001                  ,147,152
Cg2,1957ND029002                  ,127,145
Bt1,1957ND029002                  ,20,33
Cg1,1957ND029002                  ,112,127
Bt2,1957ND029002                  ,33,51
A,1957ND029002                  ,0,20
BC,1957ND029002                  ,51,112
A,1957ND069765                  ,18,41
Cg,1957ND069765                  ,152,168
Bt,1957ND069765                  ,41,76
Btg,1957ND069765                  ,76,152
Oa,1957ND069765                  ,0,18
Btg1,1959MN149515                  ,36,56
Bkg,1959MN149515                  ,89,122
E,1959MN149515                  ,18,36
Ap,1959MN149515                  ,0,18
Btg2,1959MN149515                  ,56,76
Bk,1959MN149515                  ,76,89
Lma,1959MN149526                  ,114,119
A1,1959MN149526                  ,20,51
A3,1959MN149526                  ,94,114
Ap,1959MN149526                  ,0,20
A2,1959MN149526                  ,51,94
AE,1959ND031013                  ,41,51
A1,1959ND031013                  ,0,23
Bt,1959ND031013                  ,51,94
BC,1959ND031013                  ,94,122
Cg,1959ND031013                  ,122,152
A2,1959ND031013                  ,23,41
2Bkg,1963MN149510                  ,91,142
Btg2,1963MN149510                  ,81,91
Btg1,1963MN149510                  ,48,81
A1,1963MN149510                  ,0,36
2Cg,1963MN149510                  ,142,162
A2,1963MN149510                  ,36,48
A,1963SD089001                  ,2,5
Cg,1963SD089001                  ,97,152
Btg2,1963SD089001                  ,36,66
Oa,1963SD089001                  ,0,2
BCg,1963SD089001                  ,66,97
BA,1963SD089001                  ,5,13
Btg1,1963SD089001                  ,13,36
Btg2,1964ND081500                  ,51,99
AB,1964ND081500                  ,20,28
Bkg,1964ND081500                  ,99,117
Btg1,1964ND081500                  ,28,51
BCkg,1964ND081500                  ,117,152
A,1964ND081500                  ,0,20
Btg2,1967ND015309                  ,28,43
A,1967ND015309                  ,0,13
Cg,1967ND015309                  ,43,152
Btg1,1967ND015309                  ,13,28
Ap,1970ND101310                  ,0,15
BCg,1970ND101310                  ,91,114
Bt2,1970ND101310                  ,51,91
2Cg,1970ND101310                  ,114,152
Bt1,1970ND101310                  ,15,51
Btg1,1970ND103302                  ,48,69
A,1970ND103302                  ,0,25
Cg,1970ND103302                  ,114,152
Bt,1970ND103302                  ,25,48
BCkg,1970ND103302                  ,91,114
Btg2,1970ND103302                  ,69,91
A1,1970SD091205                  ,0,15
A2,1970SD091205                  ,15,33
Cg2,1970SD091205                  ,89,152
Cg1,1970SD091205                  ,74,89
Btg,1970SD091205                  ,33,74
Cg2,1971MN149500                  ,117,137
Ag,1971MN149500                  ,38,76
Cg1,1971MN149500                  ,97,117
Btg,1971MN149500                  ,76,97
A,1971MN149500                  ,20,38
Ap,1971MN149500                  ,0,20
Cg1,1971ND045301                  ,46,137
A,1971ND045301                  ,0,30
Cg2,1971ND045301                  ,137,152
Btg,1971ND045301                  ,30,46
A1,1972MN121500                  ,0,28
A3,1972MN121500                  ,36,46
Btg3,1972MN121500                  ,76,97
Btg1,1972MN121500                  ,46,61
C,1972MN121500                  ,97,152
Btg2,1972MN121500                  ,61,76
A2,1972MN121500                  ,28,36
Btg3,1972SD045309                  ,46,81
Btg1,1972SD045309                  ,15,23
Btg2,1972SD045309                  ,23,46
Cg,1972SD045309                  ,122,152
A,1972SD045309                  ,0,15
Bg,1972SD045309                  ,81,122
A,1974SD089001                  ,2,18
Btg2,1974SD089001                  ,33,66
Btg3,1974SD089001                  ,66,114
Btg1,1974SD089001                  ,18,33
Oi,1974SD089001                  ,0,2
Cg,1974SD089001                  ,114,152
Btg2,1975ND055309                  ,51,97
Btg1,1975ND055309                  ,20,51
Cg2,1975ND055309                  ,127,152
Cg1,1975ND055309                  ,97,127
Ap,1975ND055309                  ,0,13
A,1975ND055309                  ,13,20
A,1975ND069015                  ,0,20
Btg2,1975ND069015                  ,61,117
Cg,1975ND069015                  ,117,152
Btg1,1975ND069015                  ,20,61
Cg2,1976ND071001                  ,121,156
A1,1976ND071001                  ,4,27
Btg2,1976ND071001                  ,52,68
Btg1,1976ND071001                  ,45,52
Oe,1976ND071001                  ,0,4
A2,1976ND071001                  ,27,45
BCg,1976ND071001                  ,68,106
Cg1,1976ND071001                  ,106,121
Btg1,1977SD051008                  ,28,41
Cg,1977SD051008                  ,137,152
A,1977SD051008                  ,0,28
Btg3,1977SD051008                  ,102,137
O,1977SD051008                  ,8,0
Btg2,1977SD051008                  ,41,102
A2,1977SD109500                  ,15,46
A1,1977SD109500                  ,0,15
Cg1,1977SD109500                  ,97,109
Cg2,1977SD109500                  ,109,152
Btg2,1977SD109500                  ,84,97
Btg1,1977SD109500                  ,46,84
Ap,1978MN051500                  ,0,23
A1,1978MN051500                  ,23,36
Btg2,1978MN051500                  ,91,104
Btg1,1978MN051500                  ,48,91
A2,1978MN051500                  ,36,48
C,1978MN051500                  ,104,152
Btg1,1978SD021310                  ,41,64
Cg,1978SD021310                  ,122,152
Btg2,1978SD021310                  ,64,122
A,1978SD021310                  ,0,41
A2,1978SD089001                  ,13,28
Cg1,1978SD089001                  ,91,107
Btg1,1978SD089001                  ,28,76
Cg2,1978SD089001                  ,107,160
A1,1978SD089001                  ,0,13
Btg2,1978SD089001                  ,76,91
A,1978SD089002                  ,0,8
Btg2,1978SD089002                  ,25,64
Cg,1978SD089002                  ,117,152
Btg1,1978SD089002                  ,8,25
BCg,1978SD089002                  ,64,81
BCg2,1979ND029310                  ,122,152
A2,1979ND029310                  ,15,23
BCg1,1979ND029310                  ,99,122
A1,1979ND029310                  ,0,15
Btg2,1979ND029310                  ,46,99
Btg1,1979ND029310                  ,23,46
Bt2,1980ND019004                  ,58,117
Cg,1980ND019004                  ,117,155
A,1980ND019004                  ,5,28
Bt1,1980ND019004                  ,28,58
Oe,1980ND019004                  ,0,5
A1,1980ND019006                  ,3,18
Bt2,1980ND019006                  ,69,97
A2,1980ND019006                  ,18,39
Bt1,1980ND019006                  ,39,69
C,1980ND019006                  ,115,155
Oe,1980ND019006                  ,0,3
Bk,1980ND019006                  ,97,115
Bt2,1980ND019007                  ,64,135
A,1980ND019007                  ,0,28
Bt1,1980ND019007                  ,28,64
BCk,1980ND019007                  ,135,152
Oe,1980ND019008                  ,0,8
Bt2,1980ND019008                  ,61,81
A,1980ND019008                  ,8,41
C,1980ND019008                  ,81,152
Bt1,1980ND019008                  ,41,61
BC,1980ND043001                  ,107,152
Bt1,1980ND043001                  ,18,46
Bt2,1980ND043001                  ,46,74
Bt3,1980ND043001                  ,74,107
A,1980ND043001                  ,0,18
Btg1,1980SD089311                  ,33,66
Bt,1980SD089311                  ,18,33
Cg,1980SD089311                  ,114,152
A,1980SD089311                  ,0,18
Btg2,1980SD089311                  ,66,114
Btg2,1982MN155040                  ,84,117
Btg1,1982MN155040                  ,41,84
Btg3,1982MN155040                  ,117,152
A,1982MN155040                  ,25,41
Ap,1982MN155040                  ,0,25
BCg,1982SD049310                  ,84,127
Btg1,1982SD049310                  ,15,33
Cg,1982SD049310                  ,127,152
A,1982SD049310                  ,0,15
Btg2,1982SD049310                  ,33,84
C,1983ND019001                  ,117,155
Oe,1983ND019001                  ,0,5
A2,1983ND019001                  ,35,51
