desig ,User Pedon ID                 ,Top Depth,Bottom Depth
Cg          ,1957ND069765                  ,0,168
Btg1        ,1959MN149515                  ,36,76
Btg2        ,1959MN149515                  ,56,122
A2          ,1959MN149526                  ,114,119
A1          ,1959MN149526                  ,114,119
A1          ,1959ND031013                  ,0,152
A2          ,1959ND031013                  ,0,152
Cg          ,1959ND031013                  ,0,152
Btg2        ,1963MN149510                  ,0,48
Btg1        ,1963MN149510                  ,48,91
A2          ,1963MN149510                  ,91,162
A1          ,1963MN149510                  ,91,142
BCg         ,1963SD089001                  ,0,97
Btg2        ,1963SD089001                  ,0,97
Btg1        ,1963SD089001                  ,13,66
Cg          ,1963SD089001                  ,0,97
Btg1        ,1964ND081500                  ,0,99
Btg2        ,1964ND081500                  ,0,99
Cg          ,1967ND015309                  ,0,152
Btg2        ,1967ND015309                  ,0,152
Btg1        ,1967ND015309                  ,0,152
BCg         ,1970ND101310                  ,0,152
Cg          ,1970ND103302                  ,25,91
Btg2        ,1970ND103302                  ,48,152
Btg1        ,1970ND103302                  ,48,152
A2          ,1970SD091205                  ,15,152
A1          ,1970SD091205                  ,33,152
Btg1        ,1972MN121500                  ,46,97
A1          ,1972MN121500                  ,0,76
A2          ,1972MN121500                  ,0,76
Btg2        ,1972MN121500                  ,46,97
Cg          ,1972SD045309                  ,89,152
Btg1        ,1972SD045309                  ,89,152
Btg2        ,1972SD045309                  ,0,122
Cg          ,1974SD089001                  ,18,114
Btg1        ,1974SD089001                  ,0,152
Btg2        ,1974SD089001                  ,0,114
Btg1        ,1975ND055309                  ,0,97
Btg2        ,1975ND055309                  ,0,97
Cg          ,1975ND069015                  ,20,117
Btg2        ,1975ND069015                  ,117,152
Btg1        ,1975ND069015                  ,117,152
BCg         ,1976ND071001                  ,4,68
A2          ,1976ND071001                  ,45,68
A1          ,1976ND071001                  ,68,156
Btg1        ,1976ND071001                  ,4,68
Btg2        ,1976ND071001                  ,0,156
Btg1        ,1977SD051008                  ,28,152
Btg2        ,1977SD051008                  ,0,137
Cg          ,1977SD051008                  ,0,137
A2          ,1977SD109500                  ,0,109
Btg1        ,1977SD109500                  ,0,109
Btg2        ,1977SD109500                  ,0,109
A1          ,1977SD109500                  ,0,109
Btg2        ,1978MN051500                  ,0,104
Btg1        ,1978MN051500                  ,0,104
A2          ,1978MN051500                  ,0,104
A1          ,1978MN051500                  ,48,104
Cg          ,1978SD021310                  ,122,152
Btg2        ,1978SD021310                  ,0,152
Btg1        ,1978SD021310                  ,122,152
Btg2        ,1978SD089001                  ,0,160
A2          ,1978SD089001                  ,28,91
A1          ,1978SD089001                  ,28,91
Btg1        ,1978SD089001                  ,0,76
Btg1        ,1978SD089002                  ,0,81
BCg         ,1978SD089002                  ,0,81
Btg2        ,1978SD089002                  ,8,152
Cg          ,1978SD089002                  ,0,81
A1          ,1979ND029310                  ,0,152
Btg2        ,1979ND029310                  ,0,152
A2          ,1979ND029310                  ,23,99
Btg1        ,1979ND029310                  ,23,99
Cg          ,1980ND019004                  ,5,117
A2          ,1980ND019006                  ,97,155
A1          ,1980ND019006                  ,0,155
Btg2        ,1980SD089311                  ,18,114
Btg1        ,1980SD089311                  ,18,114
Cg          ,1980SD089311                  ,18,114
Btg1        ,1982MN155040                  ,0,152
Btg2        ,1982MN155040                  ,0,152
Cg          ,1982SD049310                  ,89,140
BCg         ,1982SD049310                  ,89,140
Btg2        ,1982SD049310                  ,89,140
Btg1        ,1982SD049310                  ,89,140
A1          ,1983ND019001                  ,5,117
A2          ,1983ND019001                  ,0,155
Cg          ,1983SD013501                  ,20,112
A2          ,1983SD039003                  ,43,152
A1          ,1983SD039003                  ,43,109
Btg2        ,1983SD039003                  ,0,152
Btg1        ,1983SD039003                  ,43,152
Cg          ,1983SD039003                  ,0,152
Cg          ,1984MN011001                  ,51,127
Btg1        ,1984MN011001                  ,51,127
Btg2        ,1984MN011001                  ,0,94
Btg1        ,1984MN011517                  ,0,150
Cg          ,1984MN011517                  ,0,150
Btg2        ,1984MN011517                  ,0,150
A2          ,1984MN011517                  ,147,150
A1          ,1984MN011517                  ,0,150
Cg          ,1984MN011518                  ,0,64
Btg2        ,1984MN011518                  ,147,150
Btg1        ,1984MN011518                  ,0,64
Cg          ,1984MN011521                  ,0,74
Btg1        ,1984MN011521                  ,127,150
Btg2        ,1984MN011521                  ,127,150
Cg          ,1985ND043309                  ,18,107
Btg2        ,1985ND043309                  ,18,107
Btg1        ,1985ND043309                  ,0,74
A1          ,1985SD057004                  ,46,152
Btg2        ,1985SD057004                  ,46,152
Btg1        ,1985SD057004                  ,46,152
A2          ,1985SD057004                  ,46,152
A2          ,1986ND093302                  ,41,91
A1          ,1986ND093302                  ,41,91
Btg2        ,1986SD037003                  ,43,152
A2          ,1986SD037003                  ,0,119
Btg1        ,1986SD037003                  ,43,152
A1          ,1986SD037003                  ,43,152
A1          ,1987ND049302                  ,0,152
A2          ,1987ND049302                  ,33,112
Btg1        ,1987ND095003                  ,0,114
